,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
2202,1214870400000,2008-07-01,7,2008,-67.59822512999399,-0.22457882102988036,301.9213654100895,144.92500591278076,2
2730,1214870400000,2008-07-01,7,2008,-66.69990984587447,-0.22457882102988036,261.46324211359024,154.78471893734402,2
3523,1217548800000,2008-08-01,8,2008,-67.14906748793423,0.22457882102988036,221.22567717731,156.16250126702445,2
619,1217548800000,2008-08-01,8,2008,-66.69990984587447,-1.1228941051494017,189.58173662424088,155.08423977312836,2
3259,1217548800000,2008-08-01,8,2008,-67.59822512999399,0.22457882102988036,219.28947286307812,146.53035756519864,2
1939,1217548800000,2008-08-01,8,2008,-66.25075220381471,-0.6737364630896411,222.66130685061216,167.95357016154696,2
1147,1217548800000,2008-08-01,8,2008,-67.59822512999399,-0.6737364630896411,197.9805550724268,149.8075023651123,2
2467,1217548800000,2008-08-01,8,2008,-67.14906748793423,-0.22457882102988036,207.761229082942,157.33749866485596,2
91,1217548800000,2008-08-01,8,2008,-67.59822512999399,-1.1228941051494017,194.33942960202694,149.9217102151168,2
2203,1217548800000,2008-08-01,8,2008,-67.59822512999399,-0.22457882102988036,192.748096331954,136.20625591278076,2
1411,1217548800000,2008-08-01,8,2008,-67.14906748793423,-0.6737364630896411,227.7692318931222,150.50500354766845,2
1675,1217548800000,2008-08-01,8,2008,-66.69990984587447,-0.6737364630896411,220.62091889232397,150.11750157674152,2
883,1217548800000,2008-08-01,8,2008,-66.25075220381471,-1.1228941051494017,171.82925161719322,158.58749914169312,2
2995,1217548800000,2008-08-01,8,2008,-66.25075220381471,-0.22457882102988036,239.4690794944763,159.57250118255615,2
355,1217548800000,2008-08-01,8,2008,-67.14906748793423,-1.1228941051494017,201.3435168378055,153.6184762042502,2
4051,1217548800000,2008-08-01,8,2008,-66.25075220381471,0.22457882102988036,236.15468360483646,160.11499881744385,2
2731,1217548800000,2008-08-01,8,2008,-66.69990984587447,-0.22457882102988036,225.20650482922792,157.16999645233156,2
3787,1217548800000,2008-08-01,8,2008,-66.69990984587447,0.22457882102988036,228.51967895030975,158.70892688206266,2
