,pai,rh100,year,month,polygon_id,number,date,pai_interpolated
6,0.5875723886412036,855.1882730670035,2019,4,7,18999,04-19,
14,0.46900262628528117,803.2958430295827,2019,5,7,59731,05-19,0.44852986913073883
22,0.40319710958474025,795.7755724474474,2019,6,7,85248,06-19,0.4271385463804889
30,0.38040031648124567,795.5204392922514,2019,7,7,9834,07-19,0.34722605116098715
38,0.27800297551470954,751.3474830597086,2019,8,7,73641,08-19,0.284377504804178
46,0.2771897106828348,772.6480587300385,2019,9,7,66065,09-19,0.28342843422603914
54,0.2941586443606505,772.3327472701795,2019,10,7,75646,10-19,0.32055859189747016
62,0.45016583083696493,901.4696521391444,2019,11,7,37515,11-19,0.46385213731329034
70,0.7288187091486894,965.2552993013655,2019,12,7,50384,12-19,0.6266959414664028
78,0.6972155181771029,903.9957989210866,2020,1,7,20947,01-20,0.7179667794549786
86,0.7167217423472192,869.9748519888478,2020,2,7,90027,02-20,0.7031577204747927
94,0.6856766593981959,857.9292568623075,2020,3,7,62734,03-20,0.6944421667288643
101,0.6509483652377669,878.780957786873,2020,4,7,33473,04-20,0.5787885097191539
109,0.46253021790816207,785.9396844010503,2020,5,7,78454,05-20,0.4971052005455031
117,0.4745593690493453,808.1097295847095,2020,6,7,108093,06-20,0.46981532668974224
123,0.5568496282801482,803.8977777777778,2020,7,7,675,07-20,0.45267850767650225
130,0.4233995356058359,825.4641989853574,2020,8,7,83182,08-20,0.37286227740767847
137,0.33552183193222385,767.093127189274,2020,9,7,115906,09-20,0.3784936561341591
144,0.4691357254067763,815.1030642695976,2020,10,7,13739,10-20,0.5084306996126298
152,0.7716760613068734,836.2042925481569,2020,11,7,78182,11-20,0.7208238967777278
160,0.7172749051004793,839.589848863909,2020,12,7,145895,12-20,0.717044876897628
168,0.6853282791880047,840.1551593295267,2021,1,7,135725,01-21,0.6932777129923618
176,0.6411652871760268,794.0288087093096,2021,2,7,46479,02-21,0.6525379321730955
184,0.603650696819397,821.0531767697543,2021,3,7,80223,03-21,0.6095586805624965
190,0.3501511495490511,667.9303962460897,2021,4,7,3836,04-21,0.5919424464107377
198,0.5903237873918197,845.2984170681349,2021,5,7,7265,05-21,0.32671627143597565
206,0.30527810200682887,710.0978027265437,2021,6,7,93525,06-21,0.36546895399224516
214,0.39829658352961095,811.3779083141636,2021,7,7,121720,07-21,0.35903326722298956
222,0.38851806489568985,851.467466160057,2021,8,7,8422,08-21,0.35293222841026844
230,0.2827561905583418,705.2221686456512,2021,9,7,82955,09-21,0.29302429192299023
237,0.30508155611988336,656.9972102460056,2021,10,7,3943,10-21,0.35294571040066786
245,0.5531022042191113,752.2505244231346,2021,11,7,30033,11-21,0.61553365434871
252,0.6879835413194065,814.2506311950626,2021,12,7,42776,12-21,0.6325549926373214
260,0.6338166380860675,772.7151872457029,2022,1,7,12043,01-22,0.6435242317996839
268,0.6063329734040647,759.8810218369729,2022,2,7,47992,02-22,0.5934595712348228
276,0.5526008033566849,775.2963429079065,2022,3,7,27016,03-22,0.5514704059053864
284,0.515221417678423,780.0648221236288,2022,4,7,73478,04-22,0.536947298000948
292,0.5606836775803793,772.057041142441,2022,5,7,49438,05-22,0.5415059952456551
297,0.5915457902082992,851.1828591785842,2022,6,7,19649,06-22,
7,1.0537250590476765,1105.8048327137546,2019,4,8,1076,04-19,
15,1.4478860728046352,1482.5259423503326,2019,5,8,18040,05-19,1.3413275923989143
23,1.168367307076311,1295.1647184986596,2019,6,8,9325,06-19,1.314941657548515
31,1.2683091334496404,1356.0599005424954,2019,7,8,22120,07-19,1.2291752724323117
39,1.1669655372742709,1361.4464583333333,2019,8,8,4800,08-19,1.1077497791474071
47,0.914908365635048,1102.5435121411695,2019,9,8,19891,09-19,0.9657270340097244
55,0.9676170309349431,1141.263694160246,2019,10,8,23751,10-19,1.029058651932654
63,1.3266620417884192,1356.6562674539216,2019,11,8,12533,11-19,1.1135059603504622
71,1.2096206398424783,1233.2160852713178,2019,12,8,8256,12-19,1.3640031740470073
79,1.464689521362514,1356.7390073380714,2020,1,8,17307,01-20,1.545533829745823
87,1.7076471152004795,1501.70487217344,2020,2,8,25738,02-20,1.6262679039455907
95,2.153219051158033,1679.2094594594594,2020,3,8,1332,03-20,1.5125142046984006
102,1.1403015031915762,1141.5593563917396,2020,4,8,15786,04-20,1.4035422225370315
110,1.5746319938281752,1483.4408194233688,2020,5,8,18452,05-20,1.3792816151355782
118,1.3913147807641408,1414.5685726569218,2020,6,8,13956,06-20,1.3975957135217052
124,1.1437414656058371,1206.8189730895153,2020,7,8,12523,07-20,1.2346269765280768
131,1.195819584128399,1159.3660991857882,2020,8,8,27020,08-20,1.2668475802956936
138,1.3642919527109818,1318.032351616173,2020,9,8,35516,09-20,1.2425180049084332
145,1.1219080037004645,1181.500334685199,2020,10,8,25397,10-20,1.3008536736618228
153,1.9045442061430347,1592.4191253951528,2020,11,8,3796,11-20,1.4611268522150833
161,2.1585039971059556,1807.8497987927565,2020,12,8,9940,12-20,1.8526660127514902
169,0.5757590357898776,767.4122287968441,2021,1,8,2535,01-21,1.8995757382890885
177,2.1452190951345163,1789.177135678392,2021,2,8,3184,02-21,1.4450002683928416
185,1.4443196892451444,1309.2564532613537,2021,3,8,38159,03-21,1.4721712317355478
191,1.4211872610379024,1305.7868504271487,2021,4,8,21187,04-21,1.595283766575021
199,1.7812298257608388,1533.1378278922407,2021,5,8,50817,05-21,1.5088799083866593
207,0.955997773289504,1084.608896271687,2021,6,8,21672,06-21,1.5348116425328453
215,1.536813969303331,1468.6572765645074,2021,7,8,10898,07-21,1.1098081699188405
223,1.0761425415317956,1202.2930405732793,2021,8,8,39213,08-21,1.0437786448177024
231,0.6203859594470933,919.8354156042835,2021,9,8,15688,09-21,0.9829460845511652
238,1.085800582758015,1235.5210177550712,2021,10,8,19769,10-21,0.8571835017664461
246,0.5488880112621073,760.3628352490422,2021,11,8,2610,11-21,1.220677473850628
253,1.5627105768815757,1257.426791518341,2021,12,8,12922,12-21,1.5314888973179157
261,1.5970316677447511,1386.1976465593061,2022,1,8,32973,01-22,1.567903099240474
269,1.5158091861627525,1297.9195288355006,2022,2,8,17149,02-22,1.5353538027841878
277,1.3822223917759222,1234.2162820050487,2022,3,8,11092,03-22,1.489077141140915
285,1.5311084295908919,1323.1868494101318,2022,4,8,17292,04-22,1.4539518395166169
293,1.4334567972293588,1288.2142096049927,2022,5,8,26278,05-22,1.4975175697089174
298,1.6510099587021982,1486.2728664903243,2022,6,8,7183,06-22,
